	AAB_ddlogFC	AAB_FDR	ABB_ddlogFC	ABB_FDR	is_ChrR	sig_either
C1_12850W_A	1.44949592607289	5.93670567447165e-05	0.941062487906016	0.0030125584048372	False	True
C7_01650W_B	-0.59554798245203	6.06037870353555e-05	-0.353895387256504	0.0061189460760063	False	True
C6_02380W_B	0.4649507076726	6.12792425038347e-05	0.329136584964983	0.001652529877819	False	True
C3_01460C_A	0.755179612823223	6.18350430679688e-05	0.659480763212916	0.0002723464209035	False	True
CR_01860W_A	1.3419156849712	6.23806924182357e-05	1.06842358023361	0.0005199166579025	True	True
C1_07220W_A	0.84681001121819	6.25839259508494e-05	0.872876174116919	3.96803581801297e-05	False	True
C1_05360C_A	0.937232213294008	6.25839259508494e-05	0.742896173214441	0.0007004403390561	False	True
CR_07440W_B	-0.846059610390386	6.26312418511613e-05	-0.775972504261134	0.0001631098483343	True	True
C1_01930W_B	-0.651425820487225	6.28580198064237e-05	-0.781225065586145	8.39419023523795e-06	False	True
C2_01750C_A	0.848609158974839	6.39948730176575e-05	0.773025390598186	0.000163647883285	False	True
C3_02280C_B	-0.456928063924326	6.49763874519675e-05	-0.3543979287431	0.0007571685570575	False	True
C4_00860C_A	-0.569681789646615	6.69665323944483e-05	-0.768868170737302	2.81967797442234e-06	False	True
C6_02000W_B	-0.768631387141841	6.72286653102521e-05	-0.924259752411957	1.35914366100586e-05	False	True
C5_04110W_B	-0.54730070917198	6.76871143314545e-05	-0.634027403614403	1.29773801991114e-05	False	True
C3_06890W_B	-0.484871960744258	7.12433939858682e-05	-0.283108681475143	0.0078272151149321	False	True
CR_00140W_B	-0.652393515363242	7.12433939858682e-05	-0.863711300146993	3.41236065590708e-06	True	True
C4_05780C_B	-0.9682500231126	7.12572902328756e-05	-0.612930621216646	0.0059175972105202	False	True
CR_07140C_A	-0.894488263910934	7.12572902328756e-05	-0.988910906677937	3.11762984883528e-05	True	True
C2_05640W_B	0.49770625687953	7.12572902328756e-05	0.4136734620659	0.0004295690668759	False	True
C1_07360W_B	-0.614403466361158	7.12572902328756e-05	-0.553141721290206	0.0002420926797909	False	True
C1_06810W_B	0.791260232399929	7.12988025912016e-05	0.662291919260202	0.000399100285432	False	True
C2_04000C_B	-1.16915868897551	7.39184593846587e-05	-1.31593561030414	3.83587962885039e-05	False	True
C3_01460C_B	0.748799720505554	7.43979164308372e-05	0.616443985814277	0.0005195428587524	False	True
C6_01490C_B	0.981512783752838	7.43979164308372e-05	0.473461744758172	0.025699034415958	False	True
C1_01930W_A	-0.606427947589443	7.62513763917849e-05	-0.736244700756159	8.82514712547789e-06	False	True
CR_07140C_B	-0.612543240916421	7.67109578907109e-05	-0.838322652720272	1.72281665643666e-06	True	True
C6_00810C_A	0.727106317600757	7.67109578907109e-05	0.478800997051107	0.0032670436591894	False	True
C1_06340W_B	-1.28219696753029	7.67109578907109e-05	-1.02171561543208	0.0006509702424566	False	True
C3_00880W_A	0.543582390601223	7.67109578907109e-05	0.495076945841435	0.000192858341634	False	True
C2_05440W_A	0.689003616595839	7.9125984745343e-05	0.614164192330656	0.0002841189334187	False	True
C2_04080W_B	0.719354362208773	8.4224794174066e-05	0.18019161783072	0.274229004942568	False	True
C6_03700W_B	0.925319970347803	8.48122580603867e-05	0.795393125478616	0.0003590034203748	False	True
C1_05910W_A	0.603858006049077	8.6693732487326e-05	0.3570865408606	0.0080034568779956	False	True
C1_04350C_B	-0.54305370422653	8.68278663052645e-05	-0.638734627078823	1.66035226155671e-05	False	True
